Title,Description,URL
Shadows House,"Studios: CloverWorks
Genres: Fantasy, Mystery",https://youtu.be/oq8eIOU5nJE?si=yfGGZfbp9R1KomON
Shaman King,"Studios: Bridge
Genres: Action, Adventure, Supernatural",https://youtu.be/emrOpnSCYao?si=mY_e-bMpy3ELZiOJ
Shangri-La Frontier,"Studios: C2C
Genres: Action, Adventure, Fantasy",https://youtu.be/GasIaj6iNOU?si=m9IMM0s4ia9DLZYX
Soul Eater ,"Studios: Bones
Genres: Action, Comedy, Fantasy",https://youtu.be/zzJ8U8OtEsE
"Spare Me, Great Lord!","Studios: Big Firebird Culture
Genres: Action, Adventure, Comedy, Fantasy",https://youtu.be/DDf8_Bj4XOw
Summer Time Rendering ,"Studios: OLM
Genres: Mystery, Supernatural, Suspense",https://youtu.be/8wjHaeCgbps
Super Cube,"Studios: Big Firebird Culture
Genres: Action, Adventure, Fantasy",https://youtu.be/B4torQNiIBU
Takt Op. Destiny,"Studios: Madhouse, MAPPA
Genres: Action, Fantasy, Sci-Fi",https://youtu.be/cnGr30mbypo
Talentless Nana ,"Studios: Bridge
Genre: Suspense",https://youtu.be/878nfHpKo3Q
That Time I Got Reincarnated as a Slime,"Studios: 8bit
Genres: Action, Comedy, Fantasy",https://youtu.be/ZhvUomsfG8o
The Apothecary Diaries,"Studios: OLM, TOHO animation STUDIO
Genres: Drama, Mystery",https://youtu.be/EQ-DKvLQlyQ
The Brilliant Healer's New Life in the Shadows,"Studios: Makaria
Genre: Fantasy",https://youtu.be/WqT1L37u0vE
The Comic Artist and His Assistants ,"Studios: Zexcs
Genres: Comedy, Ecchi",https://youtu.be/tY3pWDJQmzE
The Daily Life of the Immortal King,"Studios: Haoliners Animation
Genres: Adventure, Comedy, Fantasy",https://youtu.be/dN1SeQevtn8
The Faraway Paladin,"Studios: Children's Playground Entertainment
Genres: Action, Adventure, Fantasy",https://youtu.be/2Xvw3JLAAsg
The God of High School,"Studios: MAPPA
Genres: Action, Fantasy",https://youtu.be/eRJyYfAq2tk
The Ice Guy and His Cool Female Colleague,"Studios: Zero-G, Liber
Genres: Comedy, Fantasy, Romance",https://youtu.be/i8fDrq89nec
The King's Avatar,"Studios: B.CMAY PICTURES
Genre: Action",https://youtu.be/RgmPcvK7nBA
The Promised Neverland,"Studios: CloverWorks
Genres: Mystery, Suspense",https://youtu.be/yB2t5y7ujlg
The Seven Deadly Sins,"Studios: A-1 Pictures
Genres: Action, Adventure, Fantasy",https://youtu.be/MHsp-KkGo_g
To Be Hero X,"Studios: Pb Animation, LAN Studio, Paper Plane Animation Studio, B.COOL STUDIO
Genre: Action",https://youtu.be/j0KhH04xMlE
Tokyo Ghoul ,"Studios: Studio Pierrot
Genres: Action, Fantasy, Horror, Suspense",https://youtu.be/7aMOurgDB-o
Toradora! ,"Studios: J.C.Staff
Genres: Drama, Romance",https://youtu.be/BDoNRDqgmT0
Undead Murder Farce,"Studios: Lapin Track
Genres: Fantasy, Mystery",https://youtu.be/USr-jDwBlgc
Undead Unluck,"Studios: David Production
Genres: Action, Comedy",https://youtu.be/V9baXCr--yw
Urara Meirocho,"Studios: J.C.Staff
Genres: Comedy, Fantasy",https://youtu.be/XeX7-LZcFgA
Vinland Saga,"Studios: Wit Studio
Genres: Action, Adventure, Drama",https://youtu.be/l5wAdQ-UkWY
Welcome to Demon School! Iruma-kun ,"Studios: Bandai Namco Pictures
Genres: Comedy, Fantasy",https://youtu.be/3uHGkJbNkX0
Wistoria: Wand and Sword ,"Studios: Actas, Bandai Namco Pictures
Genres: Action, Fantasy",https://youtu.be/Fm_u3IrBzQg
X&Y ,"Studios: Lingsanwu Animation
Genres: Mystery, Suspense",https://youtu.be/mooXyemAuIk
Yu-Gi-Oh!,"Studios: Gallop
Genres: Action, Adventure, Fantasy",https://youtu.be/Cb3ggoyqXmU
Akashic Records of Bastard Magic Instructor,"Studios: LIDENFILMS
Genres: Action, Fantasy",https://youtu.be/URRcX_RCjTo
Akebi's Sailor Uniform,"Studios: CloverWorks
Genre: Slice of Life",https://youtu.be/P_xmA7nSWCs
Amagami SS ,"Studios: AIC
Genre: Romance",https://youtu.be/4rCQWcYuuBM
Ao no Orchestra,"Studios: Nippon Animation
Genre: Drama",https://youtu.be/1BkadFixBX4
Battle Game in 5 Seconds,"Studios: SynergySP, Vega Entertainment
Genres: Action, Suspense",https://youtu.be/ydsFPdjzInY
Beyond the Boundary,"Studios: Kyoto Animation
Genres: Action, Supernatural",https://youtu.be/JCQ_Xjaz5ek
Black Clover,"Studios: Studio Pierrot
Genres: Action, Fantasy",https://youtu.be/_6KZI74zKfE
Blue Lock,"Studios: 8bit
Genre: Sports",https://youtu.be/5Iv3Fi8eb7w
Blue Period ,"Studios: Seven Arcs
Genre: Drama",https://youtu.be/q0ypHogc6wg
Bubble,"Studios: Wit Studio
Genres: Action, Sci-Fi",https://youtu.be/fHDJWo_74Ac
Cells at Work! ,"Studios: David Production
Genre: Comedy",https://youtu.be/aFe3srrhLdI
Dead Mount Death Play,"Studios: Geek Toys
Genres: Action, Fantasy",https://youtu.be/ToeO0rWl-xY
"Don't Toy with Me, Miss Nagatoro","Studios: Telecom Animation Film
Genres: Comedy, Romance",https://youtu.be/upCUEPBSdmI
Dr. Stone ,"Studios: TMS Entertainment
Genres: Adventure, Comedy",https://youtu.be/tF4faMbs5oQ
Dragon Raja,"Studios: GARDEN Culture
Genre: Fantasy",https://youtu.be/2dM0QtCoRTI
Fena: Pirate Princess,"Studios: Production I.G
Genres: Action, Adventure, Fantasy",https://youtu.be/Zhwzq_KXnC8
Fog Hill of Five Elements ,"Studios: Samsara Animation Studio
Genres: Action, Fantasy",https://youtu.be/SBPiekqafY4
Food Wars!,"Studios: J.C.Staff
Genres: Gourmet, Ecchi",https://youtu.be/251nvywgHdg
Forest of Piano ,"Studios: Gaina
Genre: Drama",https://youtu.be/7Dc73xKj5N0
